"android.permission.SEND_SMS
","android.permission.SYSTEM_ALERT_WINDOW
","android.permission.GET_ACCOUNTS
","android.permission.ACCESS_WIFI_STATE
","android.permission.VIBRATE
","android.permission.RECEIVE_BOOT_COMPLETED
","android.permission.READ_PHONE_STATE
","android.permission.WAKE_LOCK
","android.permission.ACCESS_FINE_LOCATION
","android.permission.WRITE_SMS
","android.permission.WRITE_EXTERNAL_STORAGE
","android.permission.ACCESS_COARSE_LOCATION
","android.permission.INSTALL_PACKAGES
","android.permission.CHANGE_WIFI_STATE
","android.permission.GET_PACKAGE_SIZE
","android.permission.MOUNT_UNMOUNT_FILESYSTEMS
","android.permission.EXPAND_STATUS_BAR
","android.permission.ACCESS_NETWORK_STATE
","android.permission.GET_TASKS
","android.permission.WRITE_APN_SETTINGS
"
0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0
0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0
0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1
0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0
0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0
0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0
1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0
0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0
0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0
0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0
0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0
1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0
0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0
1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0
0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0
0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,0
0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0
0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0
1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0
0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0
1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0
0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0
0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0
0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0
0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0
